U.S. Regular All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/v1/qb.php?category=240692&sdid=PET.EMM_EPMR_PTE_NUS_DPG.M
14:32:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMR_PTE_NUS_DPG.M Dollars per Gallon
May 2022,4.444
Apr 2022,4.109
Mar 2022,4.222
Feb 2022,3.517
Jan 2022,3.315
Dec 2021,3.307
Nov 2021,3.395
Oct 2021,3.291
Sep 2021,3.175
Aug 2021,3.158
Jul 2021,3.136
Jun 2021,3.064
May 2021,2.985
Apr 2021,2.858
Mar 2021,2.81
Feb 2021,2.501
Jan 2021,2.334
Dec 2020,2.195
Nov 2020,2.108
Oct 2020,2.158
Sep 2020,2.183
Aug 2020,2.182
Jul 2020,2.183
Jun 2020,2.082
May 2020,1.87
Apr 2020,1.841
Mar 2020,2.234
Feb 2020,2.442
Jan 2020,2.548
Dec 2019,2.555
Nov 2019,2.598
Oct 2019,2.627
Sep 2019,2.592
Aug 2019,2.621
Jul 2019,2.74
Jun 2019,2.716
May 2019,2.859
Apr 2019,2.798
Mar 2019,2.516
Feb 2019,2.309
Jan 2019,2.248
Dec 2018,2.366
Nov 2018,2.647
Oct 2018,2.86
Sep 2018,2.836
Aug 2018,2.836
Jul 2018,2.849
Jun 2018,2.891
May 2018,2.901
Apr 2018,2.757
Mar 2018,2.591
Feb 2018,2.587
Jan 2018,2.555
Dec 2017,2.477
Nov 2017,2.564
Oct 2017,2.505
Sep 2017,2.645
Aug 2017,2.38
Jul 2017,2.3
Jun 2017,2.347
May 2017,2.391
Apr 2017,2.417
Mar 2017,2.325
Feb 2017,2.304
Jan 2017,2.349
Dec 2016,2.254
Nov 2016,2.182
Oct 2016,2.249
Sep 2016,2.219
Aug 2016,2.178
Jul 2016,2.239
Jun 2016,2.366
May 2016,2.268
Apr 2016,2.113
Mar 2016,1.969
Feb 2016,1.764
Jan 2016,1.949
Dec 2015,2.038
Nov 2015,2.158
Oct 2015,2.29
Sep 2015,2.365
Aug 2015,2.636
Jul 2015,2.794
Jun 2015,2.802
May 2015,2.718
Apr 2015,2.469
Mar 2015,2.464
Feb 2015,2.216
Jan 2015,2.116
Dec 2014,2.543
Nov 2014,2.912
Oct 2014,3.171
Sep 2014,3.406
Aug 2014,3.487
Jul 2014,3.611
Jun 2014,3.692
May 2014,3.673
Apr 2014,3.661
Mar 2014,3.533
Feb 2014,3.356
Jan 2014,3.313
Dec 2013,3.276
Nov 2013,3.243
Oct 2013,3.344
Sep 2013,3.532
Aug 2013,3.574
Jul 2013,3.591
Jun 2013,3.626
May 2013,3.615
Apr 2013,3.57
