Date,cost,rate,gal.,miles,perMile,mileage,comment
7/12/2018,20.48,2.879,7.112,181.9,0.11,25.6,
10/15/2018,32.59,2.689,12.12,232.9,0.14,19.2,
10/27/2018,30.93,2.699,11.459,250,0.12,21.8,
11/11/2018,29.83,2.589,11.52,205.7,0.15,17.9,
11/21/2018,38.88,2.989,13.008,288,0.14,22.1,
12/2/2018,29.29,2.359,12.418,265.9,0.11,21.4,
12/16/2018,24.88,2.259,11.014,213.4,0.12,19.4,
12/28/2018,33.1,2.699,12.263,240.6,0.14,19.6,
1/4/2019,25.85,2.059,12.555,307.5,0.08,24.5,
1/18/2019,26.06,2.099,12.415,242.6,0.11,19.5,
1/30/2019,25.8,2.059,12.531,244.3,0.11,19.5,
2/11/2019,25.61,2.059,12.437,254.7,0.1,20.5,
2/21/2019,25.44,2.059,12.356,241.8,0.11,19.6,
3/4/2019,29.55,2.259,13.08,286.9,0.1,21.9,
3/17/2019,27.92,2.359,11.836,254.4,0.11,21.5,
3/27/2019,30.48,2.559,11.912,240.7,0.13,20.2,
4/10/2019,32.77,2.599,12.609,262.9,0.12,20.9,
4/13/2019,31.29,2.999,10.432,305.9,0.1,29.3,
4/14/2019,6.98,2.729,2.557,53.7,0.13,21,
4/18/2019,36.04,2.899,12.433,354.7,0.1,28.5,
4/23/2019,33.51,2.759,12.147,343.8,0.1,28.3,
5/7/2019,32.46,2.699,12.025,250.8,0.13,20.9,
5/18/2019,32.23,2.879,11.195,237.1,0.14,21.2,
5/25/2019,21.03,2.699,7.79,168,0.13,21.6,
5/27/2019,17.1,2.599,6.581,185.8,0.09,28.2,
6/2/2019,33.2,2.719,12.211,301.6,0.11,24.7,
6/14/2019,34.07,2.879,11.835,243.9,0.14,20.6,
6/19/2019,32.86,2.599,12.643,338,0.1,26.7,
6/23/2019,32.78,2.599,12.614,335.4,0.1,26.6,
6/30/2019,24.25,2.579,9.403,216.1,0.11,23,
7/7/2019,32.03,2.639,12.137,285.8,0.11,23.5,
7/14/2019,36.81,2.859,12.836,360.5,0.1,28.1,two receipts: somebody added $10 randomly
7/14/2019,25.36,2.639,9.608,269.3,0.09,28,
7/14/2019,13.85,2.699,5.132,157.8,0.09,30.7,
7/17/2019,23.58,2.619,9.005,230.1,0.1,25.6,
7/20/2019,28.63,2.609,10.974,304.2,0.09,27.7,
7/21/2019,22.06,2.799,7.882,227.8,0.1,28.9,
7/25/2019,25.11,2.759,9.101,235.5,0.11,25.9,
7/26/2019,27.06,2.819,9.598,258.7,0.1,27,
7/27/2019,22.19,2.859,7.762,233.2,0.1,30,
7/31/2019,29.54,2.599,11.367,300.9,0.1,26.5,
8/9/2019,15.56,2.599,5.986,119.72,0.13,20,Miles estimated; cleared by Toyota
8/10/2019,30.12,2.739,10.997,331.8,0.09,30.2,
8/16/2019,27.25,2.699,10.095,293,0.09,29,
8/20/2019,30.49,2.439,12.501,349.2,0.09,27.9,
8/30/2019,29.95,2.599,11.524,336.3,0.09,29.2,
8/30/2019,20.37,2.399,8.491,173.7,0.12,20.5,
9/2/2019,20.46,2.559,7.995,237.9,0.09,29.8,
9/21/2019,29.4,2.399,12.255,227.7,0.13,18.6,
9/30/2019,34.62,2.799,12.368,302.2,0.11,24.4,
10/13/2019,29.72,2.339,12.707,257.6,0.12,20.3,
10/26/2019,26.11,2.299,11.356,253.2,0.1,22.3,
11/6/2019,25.9,2.299,11.264,221.3,0.12,19.6,
11/11/2019,19.25,2.349,8.194,191.9,0.1,23.4,
12/1/2019,28.43,2.299,12.368,217.6,0.13,17.6,
12/15/2019,26.94,2.359,11.419,204.5,0.13,17.9,
12/23/2019,29.88,2.359,12.666,267.9,0.11,21.2,
1/8/2020,30.08,2.399,12.538,260.1,0.12,20.7,
1/19/2020,22.07,2.359,9.354,197.6,0.11,21.1,
1/21/2020,28.37,2.399,11.824,329.9,0.09,27.9,
2/1/2020,23.41,2.379,9.839,200,0.12,20.3,
2/10/2020,27.89,2.299,12.131,283.9,0.1,23.4,
2/24/2020,28.26,2.259,12.508,246.3,0.11,19.7,
