Date,cost,rate,gal,miles,perMile,mileage,comment
2005-04-05,21.16,2.259,9.365,292.5462428,0.07,31.2,est
2005-04-06,27,2.329,11.595,369.6,0.07,31.9,
2005-04-13,18.18,2.189,8.307,254.2,0.07,30.6,
2005-04-19,28.47,2.319,12.277,358.3,0.08,29.2,
2005-04-23,16.95,2.359,7.185,184.8,0.09,25.7,
2005-04-23,26.66,2.149,12.405,379.4,0.07,30.6,
2005-04-26,27.33,2.279,11.992,381.2,0.07,31.8,
2005-05-06,31.64,2.539,12.463,356.9,0.09,28.6,
2005-05-08,15.21,2.059,7.388,242,0.06,32.8,
2005-05-16,29.47,2.299,12.82,387.5,0.08,30.2,
2005-05-23,21.42,2.199,9.742,305.1,0.07,31.3,
2005-06-06,26.48,2.259,11.721,351.1,0.08,30,
2005-07-06,26.17,2.319,11.283,352.8,0.07,31.3,
2005-07-11,29.21,2.499,11.689,390.1,0.07,33.4,
2005-08-17,31.32,2.799,11.19,330.4,0.09,29.5,
2005-08-28,26.15,2.799,9.343,305.1,0.09,32.7,
2005-08-28,16.02,2.669,6.004,206.2,0.08,34.3,
2005-09-06,37.54,3.099,12.114,379.6,0.1,31.3,
2005-09-13,33.17,2.999,11.062,342.9,0.1,31,
2005-09-21,32.75,2.819,11.618,354.9,0.09,30.5,
2005-09-23,12.19,2.789,4.732,122.3,0.1,25.8,
2005-10-03,34.48,2.959,11.652,352.9,0.1,30.3,
2005-10-19,34.89,2.939,11.87,343.2231561,0.1,28.9,est
2005-10-28,27.2,2.599,10.467,288.3,0.09,27.5,
2005-11-03,27.09,2.539,10.67,321.7,0.08,30.1,
2005-11-11,27.97,2.399,11.659,367.4,0.08,31.5,
2005-11-17,28.62,2.359,12.131,368.4,0.08,30.4,
2005-11-23,25.46,2.199,11.578,331.1,0.08,28.6,
2005-11-27,11.27,1.999,5.64,168,0.07,29.8,
2005-12-03,26.19,2.169,12.076,376.5,0.07,31.2,
2005-12-06,25.6,2.199,11.642,334.5,0.08,28.7,
2005-12-13,25.26,2.169,11.648,289.6,0.09,24.9,
2005-12-19,27.97,2.339,11.957,326.9,0.09,27.3,
2005-12-21,15,2.259,6.638,181.5,0.08,27.3,
2005-12-21,14.16,2.178,6.497,201.1,0.07,31,
2005-12-21,29.31,2.349,12.479,379.2,0.08,30.4,
2005-12-25,28.85,2.379,12.128,370.1,0.08,30.5,
2005-12-30,21.15,2.359,8.967,259,0.08,28.9,
2005-12-30,27.59,2.259,12.213,364.7,0.08,29.9,
2005-12-30,23.93,2.299,10.409,322.4,0.07,31,
2006-01-09,32.26,2.559,12.606,399.8,0.08,31.7,
2006-01-16,28.14,2.359,11.929,357.6,0.08,30,
2006-01-21,28.15,2.399,11.732,326.8,0.09,27.9,
2006-01-27,25.29,2.309,10.954,330.1,0.08,30.1,
2006-02-02,26.78,2.379,11.255,321.9,0.08,28.6,
2006-02-06,26.13,2.319,11.268,302.4,0.09,26.8,
2006-02-12,26,2.199,11.824,327.8,0.08,27.7,
2006-02-17,17.26,2.199,7.848,220.3,0.08,28.1,
2006-02-21,29.06,2.279,12.75,342.3,0.08,26.8,
2006-02-28,26.03,2.359,11.034,310.4,0.08,28.1,
2006-03-07,27.86,2.499,11.15,327.4,0.09,29.4,
2006-03-14,29.8,2.579,11.556,320.1,0.09,27.7,
2006-03-19,24.7,2.559,9.653,288.6,0.09,29.9,
2006-03-24,27.01,2.499,10.81,307.7,0.09,28.5,
2006-04-06,31.2,2.759,11.31,341.7,0.09,30.2,
2006-04-11,31.32,2.789,11.231,356.3,0.09,31.7,
2006-04-28,29.48,2.989,9.864,303.1,0.1,30.7,
2006-05-05,32.32,2.939,10.997,339.9,0.1,30.9,
2006-05-11,31.26,2.919,10.709,340.3,0.09,31.8,
2006-06-01,29.61,2.949,10.039,301.9,0.1,30.1,
