Date,cost,rate,gal,miles,perMile,mileage,comment
2008-11-20,17.09,2.089,8.183,308,0.06,37.6,
2008-11-25,19.01,1.969,9.656,344.4,0.06,35.7,
2008-12-02,12.07,1.779,6.787,231.2,0.05,34.1,
2009-01-07,15.28,1.549,9.864,340.1,0.04,34.5,
2009-01-16,18.07,1.739,10.393,360.6,0.05,34.7,
2009-01-24,10.37,1.709,10.37,352,0.03,33.9,
2009-02-02,9.98,1.779,9.982,346.5,0.03,34.7,
2009-02-11,20.1,1.959,10.258,355.3,0.06,34.6,
2009-02-20,19.29,1.929,10,227.4,0.08,22.7,
2009-03-02,20.07,1.959,10.246,375.1,0.05,36.6,
2009-03-09,20.5,1.979,10.358,362.9,0.06,35,
2009-03-18,19.13,1.909,10.02,331.1,0.06,33,
2009-03-25,17.07,1.969,8.668,306.9,0.06,35.4,
2009-03-30,19.4,2.059,9.424,280,0.07,29.7,
2009-04-22,19.68,2.029,9.699,324.4,0.06,33.4,
2009-04-30,21.77,2.039,10.675,391.2,0.06,36.6,
2009-05-01,19.99,2.079,9.616,316,0.06,32.9,
2009-05-01,14.06,1.999,7.033,255.8,0.05,36.4,
2009-05-04,14.44,2.159,6.686,240,0.06,35.9,
2009-05-04,20.95,2.299,9.112,314.7,0.07,34.5,
2009-05-06,20.39,2.039,9.998,402.4,0.05,40.2,
2009-05-10,22.18,2.109,10.519,342.3,0.06,32.5,
2009-05-15,24.84,2.249,11.044,366.8,0.07,33.2,
2009-05-27,25.72,2.359,10.905,377.6,0.07,34.6,
2009-05-29,24.64,2.599,9.481,306.9,0.08,32.4,
2009-05-30,18.86,2.599,7.256,251,0.08,34.6,
2009-06-04,25.96,2.479,10.473,375.4,0.07,35.8,
2009-06-10,22.4,2.579,8.684,311.1,0.07,35.8,
2009-06-15,18.24,2.659,6.858,244.4,0.07,35.6,
2009-06-19,21.34,2.529,8.437,312.7,0.07,37.1,
2009-06-28,28.24,2.569,10.994,373.5,0.08,34,
2009-07-08,26.75,2.539,10.534,343.6,0.08,32.6,
2009-07-17,25.98,2.469,10.521,349.9,0.07,33.3,
2009-07-30,27.19,2.519,10.792,343.3,0.08,31.8,
2009-08-11,25.14,2.599,9.673,280.9,0.09,29,
2009-08-18,27.27,2.639,10.333,376.7,0.07,36.5,
2009-08-26,22.15,2.609,8.489,270.8,0.08,31.9,
2009-08-31,23.29,2.579,9.03,313.1,0.07,34.7,
2009-09-09,22.48,2.549,8.82,309.9,0.07,35.1,
2009-09-18,25.69,2.549,10.079,338.2,0.08,33.6,
2009-09-29,27.04,2.499,10.821,355.8,0.08,32.9,
2009-10-08,24.55,2.399,10.233,341.1,0.07,33.3,
2009-10-10,6.8,2.389,2.847,84.2,0.08,29.6,
2009-10-12,15.37,2.619,5.869,209.8,0.07,35.7,
2009-10-14,25.67,2.459,10.438,393.1,0.07,37.7,
2009-10-19,20.63,2.549,8.092,263.2,0.08,32.5,
2009-10-27,28.62,2.659,10.763,354.9,0.08,33,
2009-11-07,28.16,2.589,10.876,347.6,0.08,32,
2009-11-16,27.63,2.559,10.796,352.7,0.08,32.7,
2009-11-27,30.71,2.599,11.816,370.4,0.08,31.3,
2009-12-11,25.77,2.519,10.232,300.2,0.09,29.3,
2010-01-03,27.35,2.539,10.772,267,0.1,24.8,
2010-01-10,27.48,2.699,10.182,323.4,0.08,31.8,
2010-01-11,27.77,2.919,9.514,311.2,0.09,32.7,
2010-01-23,26.63,2.639,10.092,279.1,0.1,27.7,
2010-02-01,25.69,2.619,9.809,302.1,0.09,30.8,
2010-02-24,25.22,2.739,9.207,324.2,0.08,35.2,
2010-03-06,28.65,2.659,10.774,341.7,0.08,31.7,
2010-03-22,28.02,2.699,10.381,331.4,0.08,31.9,
2010-04-05,26.38,2.749,9.598,306.5,0.09,31.9,
2010-04-28,27.35,2.829,9.669,293.2,0.09,30.3,
2010-05-04,29.41,2.829,10.395,342.9,0.09,33,
2010-05-17,25.78,2.679,9.622,345.1,0.07,35.9,
2010-06-08,29.27,2.579,11.351,356.2,0.08,31.4,
2010-06-13,25.97,2.689,9.659,344.7,0.08,35.7,
2010-06-22,28.45,2.699,10.541,348.3,0.08,33,
2010-07-03,28.82,2.659,10.839,378.7,0.08,34.9,
2010-07-09,22.67,2.569,8.825,272,0.08,30.8,
2010-07-31,27.55,2.699,10.209,360.5,0.08,35.3,
2010-08-16,27.61,2.759,10.008,326.6,0.08,32.6,
2010-08-26,25.71,2.759,9.319,325.3,0.08,34.9,
2010-09-04,27.72,2.849,9.73,297.3,0.09,30.6,
2010-09-05,23.27,2.799,8.314,306.3,0.08,36.8,
2010-09-07,15.07,2.659,5.667,179.3,0.08,31.6,
2010-09-09,27.68,2.699,10.257,346.1,0.08,33.7,
2010-09-25,26.32,2.619,10.049,341.4,0.08,34,
2010-10-06,28.02,2.619,10.698,344.6,0.08,32.2,
2010-10-13,24.49,2.709,9.041,326.9,0.07,36.2,
2010-10-17,22.53,2.769,8.138,310.9,0.07,38.2,
2010-11-03,20.88,2.619,7.973,239.8,0.09,30.1,
2010-11-22,27.28,2.659,10.261,338.1,0.08,33,
2010-12-06,25.88,2.629,9.845,318.6,0.08,32.4,
2010-12-21,23.9,2.739,8.726,270.8,0.09,31,
2011-01-26,30.54,2.899,10.533,333.1,0.09,31.6,
2011-02-07,30.04,3.029,9.918,308.6,0.1,31.1,
2011-02-23,30.94,3.199,9.671,301,0.1,31.1,
2011-03-08,36.1,3.429,10.528,345.2,0.1,32.8,
2011-03-21,28.99,3.359,8.632,276.6,0.1,32,
2011-03-30,34.1,3.509,9.717,343.3,0.1,35.3,
2011-04-12,37.21,3.699,10.059,337,0.11,33.5,
2011-04-25,36.29,3.689,9.838,340,0.11,34.6,
2011-05-09,41.07,3.759,10.927,349.3,0.12,32,
2011-05-27,37.54,3.579,10.488,358.5,0.1,34.2,
2011-06-04,32.21,3.519,9.154,330.4,0.1,36.1,
2011-06-09,38.23,3.529,10.832,377.9,0.1,34.9,
2011-06-17,30.14,3.399,8.866,309.5,0.1,34.9,
2011-06-25,31.12,3.419,9.101,283.6,0.11,31.2,
2011-06-29,25.39,3.459,7.341,223.7,0.11,30.5,
2011-06-30,29.78,3.449,8.635,318.5,0.09,36.9,
2011-07-01,29.06,3.379,8.599,290.8,0.1,33.8,
2011-07-02,38.24,3.549,10.775,371,0.1,34.4,
2011-07-03,36.2,3.329,10.875,401.2,0.09,36.9,
2011-07-03,35.6,3.659,9.729,350.2,0.1,36,
