,Date,cost,rate,gal,miles,perMile,mileage,comment,tot_miles
1,T2023-03-11,45.38,3.299,13.756,440,0.1,32,,440
2,T2023-03-30,35.11,3.159,11.114,354,0.1,31.9,,794
3,T2023-04-05,34.16,3.199,10.679,371,0.09,34.7,,1165
4,T2023-04-17,54.33,3.599,15.096,521,0.1,34.5,,1686
5,T2023-05-14,45.06,3.279,13.743,465,0.1,33.8,,2151
6,T2023-06-15,30.37,3.299,9.207,296,0.1,32.1,,2447
7,T2023-06-17,43.15,3.759,11.479,324,0.13,28.2,,2771
8,T2023-06-21,55.73,3.699,15.067,428,0.13,28.4,,3199
9,T2023-06-25,50.72,3.699,13.711,457,0.11,33.3,,3656
10,T2023-07-01,44.03,3.399,12.955,432,0.1,33.3,,4088
11,T2023-07-10,26.61,3.279,8.116,273,0.1,33.6,,4361
12,T2023-07-27,47.44,3.479,13.637,452,0.1,33.1,,4813
13,T2023-08-03,17.75,3.679,4.826,227,0.08,47,,5040
14,T2023-08-06,44.22,3.959,11.17,428,0.1,38.3,,5468
15,T2023-08-10,48.35,3.659,13.215,409,0.12,30.9,,5877
16,T2023-08-12,28.52,3.659,7.794,277,0.1,35.5,,6154
17,T2023-08-15,28.32,3.619,7.825,285,0.1,36.4,,6439
18,T2023-08-24,48.82,3.599,13.565,507,0.1,37.4,,6946
19,T2023-09-10,45.79,3.499,13.087,457,0.1,34.9,,7403
20,T2023-09-30,48.99,3.399,14.412,473,0.1,32.8,,7876
21,T2023-10-17,48.8,3.429,14.232,521.3,0.09,36.6,,8397.3
22,T2023-11-10,33.26,3.099,10.732,349.3,0.1,32.5,,8746.6
23,T2023-11-18,31.19,3.099,10.063,296.6,0.11,29.5,,9043.2
24,T2023-12-01,29.07,3.099,9.381,303.4,0.1,32.3,,9346.6
25,T2023-12-27,45.97,3.469,13.252,442.9,0.1,33.4,,9650
26,T2023-12-28,51.65,3.459,14.931,424.9,0.12,28.5,,10092.9
27,T2024-01-05,38.83,2.939,13.211,457.2,0.08,34.6,,10517.8
28,T2024-01-22,39.03,2.859,13.651,404,0.1,29.6,,10975
29,T2024-02-16,43.17,3.029,14.253,399.3,0.11,28,,11379
30,T2024-03-15,43.49,3.399,12.796,381.2,0.11,29.8,,11760.2
31,T2024-03-24,51.78,3.299,15.695,523.4,0.1,33.3,,12283.6
32,T2024-04-19,44.29,3.499,12.658,425.6,0.1,33.6,,12709.2
33,T2024-05-08,45.57,3.499,13.024,453.2,0.1,34.8,,13162.4
34,T2024-05-27,53.87,3.559,15.137,524.3,0.1,34.6,,13686.7
35,T2024-06-07,38.5,3.319,11.6,461.8,0.08,39.8,,14148.5
36,T2024-06-20,37.25,3.069,12.137,466,0.08,38.4,,14614.5
37,T2024-06-22,39.36,3.429,11.48,400.4,0.1,34.9,,15014.9
38,T2024-06-24,32.47,3.759,8.637,214.8,0.15,24.9,,15229.7
39,T2024-07-05,37.62,3.639,10.338,384.5,0.1,37.2,,15614.2
40,T2024-07-06,17.27,3.559,4.852,157.7,0.11,32.5,,15771.9
41,T2024-07-12,53.79,3.209,16.763,432.9,0.12,25.8,,16204.8
42,T2024-07-19,20.66,3.099,6.668,273.6,0.08,41.0,,16478.4
43,T2024-07-21,33.43,3.559,9.394,407.5,0.08,43.4,,16885.9
44,T2024-07.27,43.66,3.499,12.479,430.4,0.10,34.5,,17316.3
45,T2024-08-12,46.19,3.199,14.438,480.7,0.1,33.3,,17797
46,T2024-08-28,41.5,3.099,13.39,479.2,0.09,35.8,,18276.2
47,T2024-09-06,54.45,3.599,15.129,583.4,0.09,38.6,,18859.6
48,T2024-09-26,41.81,2.999,13.941,553.6,0.08,39.7,,19413.2
